"Group","Intention","Freq","N","SurveyName","Country","StartYear"
"Married, Does Not Want Child within 2 Years","Use Later",0.681419560961348,6396,"BFIR62FL.DTA","Burkina Faso",2010
"Married, Does Not Want Child within 2 Years","Missing",0.00348112388559046,6396,"BFIR62FL.DTA","Burkina Faso",2010
"Married, Wants Child within 2 Years","Does Not Intend",0.385989659320894,1544,"BFIR62FL.DTA","Burkina Faso",2010
"Married, Wants Child within 2 Years","Unsure About Use",0.0331189514400615,1544,"BFIR62FL.DTA","Burkina Faso",2010
"Married, Wants Child within 2 Years","Use Later",0.57920157498725,1544,"BFIR62FL.DTA","Burkina Faso",2010
"Married, Wants Child within 2 Years","Missing",0.00168981425179521,1544,"BFIR62FL.DTA","Burkina Faso",2010
"Not Married, Not Sexually Active","Does Not Intend",0.200777770743729,2223,"BFIR62FL.DTA","Burkina Faso",2010
"Not Married, Not Sexually Active","Unsure About Use",0.0584950750709774,2223,"BFIR62FL.DTA","Burkina Faso",2010
"Not Married, Not Sexually Active","Use Later",0.735429205080537,2223,"BFIR62FL.DTA","Burkina Faso",2010
"Not Married, Not Sexually Active","Missing",0.00529794910475592,2223,"BFIR62FL.DTA","Burkina Faso",2010
"Not Married, Sexually Active","Does Not Intend",0.194689679390583,252,"BFIR62FL.DTA","Burkina Faso",2010
"Not Married, Sexually Active","Unsure About Use",0.0299630023365029,252,"BFIR62FL.DTA","Burkina Faso",2010
"Not Married, Sexually Active","Use Later",0.773324727579005,252,"BFIR62FL.DTA","Burkina Faso",2010
"Not Married, Sexually Active","Missing",0.00202259069390905,252,"BFIR62FL.DTA","Burkina Faso",2010
"All Never Users","Does Not Intend",0.436783142974295,8821,"BFIR81FL.DTA","Burkina Faso",2021
"All Never Users","Unsure About Use",0.182539095622149,8821,"BFIR81FL.DTA","Burkina Faso",2021
"All Never Users","Use Later",0.380677761403556,8821,"BFIR81FL.DTA","Burkina Faso",2021
"Infecund, Menopausal","Does Not Intend",0.744121253390297,1836,"BFIR81FL.DTA","Burkina Faso",2021
"Infecund, Menopausal","Unsure About Use",0.115055362026173,1836,"BFIR81FL.DTA","Burkina Faso",2021
"Infecund, Menopausal","Use Later",0.140823384583529,1836,"BFIR81FL.DTA","Burkina Faso",2021
"Married, Does Not Want Child within 2 Years","Does Not Intend",0.428700442203788,2342,"BFIR81FL.DTA","Burkina Faso",2021
"Married, Does Not Want Child within 2 Years","Unsure About Use",0.182103806442093,2342,"BFIR81FL.DTA","Burkina Faso",2021
"Married, Does Not Want Child within 2 Years","Use Later",0.389195751354119,2342,"BFIR81FL.DTA","Burkina Faso",2021
"Married, Wants Child within 2 Years","Does Not Intend",0.452517454044921,1562,"BFIR81FL.DTA","Burkina Faso",2021
"Married, Wants Child within 2 Years","Unsure About Use",0.179517632323296,1562,"BFIR81FL.DTA","Burkina Faso",2021
"Married, Wants Child within 2 Years","Use Later",0.367964913631784,1562,"BFIR81FL.DTA","Burkina Faso",2021
"Not Married, Not Sexually Active","Does Not Intend",0.265127331633531,2806,"BFIR81FL.DTA","Burkina Faso",2021
"Not Married, Not Sexually Active","Unsure About Use",0.231696408911255,2806,"BFIR81FL.DTA","Burkina Faso",2021
"Not Married, Not Sexually Active","Use Later",0.503176259455214,2806,"BFIR81FL.DTA","Burkina Faso",2021
"Not Married, Sexually Active","Does Not Intend",0.148270174584414,275,"BFIR81FL.DTA","Burkina Faso",2021
"Not Married, Sexually Active","Unsure About Use",0.13466587727576,275,"BFIR81FL.DTA","Burkina Faso",2021
"Not Married, Sexually Active","Use Later",0.717063948139826,275,"BFIR81FL.DTA","Burkina Faso",2021
"All Never Users","Does Not Intend",0.272787226813598,7432,"BUIR61FL.DTA","Burundi",2010
"All Never Users","Unsure About Use",0.0549350812692798,7432,"BUIR61FL.DTA","Burundi",2010
"All Never Users","Use Later",0.668737240406669,7432,"BUIR61FL.DTA","Burundi",2010
"All Never Users","Missing",0.00354045151045319,7432,"BUIR61FL.DTA","Burundi",2010
"Infecund, Menopausal","Does Not Intend",0.642808509334658,1224,"BUIR61FL.DTA","Burundi",2010
"Infecund, Menopausal","Unsure About Use",0.0508836586738512,1224,"BUIR61FL.DTA","Burundi",2010
"Infecund, Menopausal","Use Later",0.300713959126746,1224,"BUIR61FL.DTA","Burundi",2010
"Infecund, Menopausal","Missing",0.00559387286474503,1224,"BUIR61FL.DTA","Burundi",2010
"Married, Does Not Want Child within 2 Years","Does Not Intend",0.24705443667081,2580,"BUIR61FL.DTA","Burundi",2010
"Married, Does Not Want Child within 2 Years","Unsure About Use",0.0462337246124338,2580,"BUIR61FL.DTA","Burundi",2010
"Married, Does Not Want Child within 2 Years","Use Later",0.703683373587664,2580,"BUIR61FL.DTA","Burundi",2010
"Married, Does Not Want Child within 2 Years","Missing",0.00302846512909231,2580,"BUIR61FL.DTA","Burundi",2010
"Married, Wants Child within 2 Years","Does Not Intend",0.26715888285223,374,"BUIR61FL.DTA","Burundi",2010
"Married, Wants Child within 2 Years","Unsure About Use",0.0385459271395203,374,"BUIR61FL.DTA","Burundi",2010
"Married, Wants Child within 2 Years","Use Later",0.694295190008249,374,"BUIR61FL.DTA","Burundi",2010
"Married, Wants Child within 2 Years","Missing",0,374,"BUIR61FL.DTA","Burundi",2010
"Not Married, Not Sexually Active","Does Not Intend",0.142903350272962,3049,"BUIR61FL.DTA","Burundi",2010
"Not Married, Not Sexually Active","Unsure About Use",0.0676595509767537,3049,"BUIR61FL.DTA","Burundi",2010
