"Var1","Var2","Freq","SurveyName","Country","StartYear"
"15-24","Never Used",0.362657329529547,"SNIR7HFL.DTA","Senegal",2015
"25-39","Never Used",0.257381104440818,"SNIR7HFL.DTA","Senegal",2015
"40-49","Never Used",0.0810987736394379,"SNIR7HFL.DTA","Senegal",2015
"15-24","Current User",0.0305268389581899,"SNIR7QFL.DTA","Senegal",2016
"25-39","Current User",0.110023803964639,"SNIR7QFL.DTA","Senegal",2016
"40-49","Current User",0.0390287894747759,"SNIR7QFL.DTA","Senegal",2016
"15-24","Former User",0.0208952476847488,"SNIR7QFL.DTA","Senegal",2016
"25-39","Former User",0.0921126571053433,"SNIR7QFL.DTA","Senegal",2016
"40-49","Former User",0.0399337887131256,"SNIR7QFL.DTA","Senegal",2016
"15-24","Never Used",0.361717421106664,"SNIR7QFL.DTA","Senegal",2016
"25-39","Never Used",0.231064740023885,"SNIR7QFL.DTA","Senegal",2016
"40-49","Never Used",0.0746967129686294,"SNIR7QFL.DTA","Senegal",2016
"15-24","Current User",0.0325103903145712,"SNIR7ZFL.DTA","Senegal",2017
"25-39","Current User",0.121277127375162,"SNIR7ZFL.DTA","Senegal",2017
"40-49","Current User",0.0452070587403395,"SNIR7ZFL.DTA","Senegal",2017
"15-24","Former User",0.0206329540360422,"SNIR7ZFL.DTA","Senegal",2017
"25-39","Former User",0.0904356066688283,"SNIR7ZFL.DTA","Senegal",2017
"40-49","Former User",0.0371025133450272,"SNIR7ZFL.DTA","Senegal",2017
"15-24","Never Used",0.352372558584699,"SNIR7ZFL.DTA","Senegal",2017
"25-39","Never Used",0.221721466198669,"SNIR7ZFL.DTA","Senegal",2017
"40-49","Never Used",0.0787403247366618,"SNIR7ZFL.DTA","Senegal",2017
"15-24","Current User",0.0316483986186122,"SNIR80FL.DTA","Senegal",2018
"25-39","Current User",0.11881434103627,"SNIR80FL.DTA","Senegal",2018
"40-49","Current User",0.0436992240798613,"SNIR80FL.DTA","Senegal",2018
"15-24","Former User",0.0220748351708052,"SNIR80FL.DTA","Senegal",2018
"25-39","Former User",0.103036254910633,"SNIR80FL.DTA","Senegal",2018
"40-49","Former User",0.0408589816025234,"SNIR80FL.DTA","Senegal",2018
"15-24","Never Used",0.343755616050706,"SNIR80FL.DTA","Senegal",2018
"25-39","Never Used",0.216909882627828,"SNIR80FL.DTA","Senegal",2018
"40-49","Never Used",0.079202465902761,"SNIR80FL.DTA","Senegal",2018
"15-24","Current User",0.0309446759776807,"SNIR8AFL.DTA","Senegal",2019
"25-39","Current User",0.118076062477446,"SNIR8AFL.DTA","Senegal",2019
"40-49","Current User",0.0392954273445475,"SNIR8AFL.DTA","Senegal",2019
"15-24","Former User",0.0212743853107308,"SNIR8AFL.DTA","Senegal",2019
"25-39","Former User",0.0974766904870876,"SNIR8AFL.DTA","Senegal",2019
"40-49","Former User",0.0406374598816439,"SNIR8AFL.DTA","Senegal",2019
"15-24","Never Used",0.359463968055833,"SNIR8AFL.DTA","Senegal",2019
"25-39","Never Used",0.218585660229435,"SNIR8AFL.DTA","Senegal",2019
"40-49","Never Used",0.0742456702355956,"SNIR8AFL.DTA","Senegal",2019
"15-24","Current User",0.0973788538035329,"SLIR61FL.DTA","Sierra Leone",2013
"25-39","Current User",0.0984146029411633,"SLIR61FL.DTA","Sierra Leone",2013
"40-49","Current User",0.024907499474005,"SLIR61FL.DTA","Sierra Leone",2013
"15-24","Former User",0.0293529778374287,"SLIR61FL.DTA","Sierra Leone",2013
"25-39","Former User",0.0607598717072147,"SLIR61FL.DTA","Sierra Leone",2013
"40-49","Former User",0.0192208401668093,"SLIR61FL.DTA","Sierra Leone",2013
"15-24","Never Used",0.267140595793509,"SLIR61FL.DTA","Sierra Leone",2013
"25-39","Never Used",0.284471541240323,"SLIR61FL.DTA","Sierra Leone",2013
"40-49","Never Used",0.118353217036014,"SLIR61FL.DTA","Sierra Leone",2013
"15-24","Current User",0.098058538735323,"SLIR7AFL.DTA","Sierra Leone",2019
"25-39","Current User",0.122293450942801,"SLIR7AFL.DTA","Sierra Leone",2019
"40-49","Current User",0.0223331023989637,"SLIR7AFL.DTA","Sierra Leone",2019
"15-24","Former User",0.044310440523814,"SLIR7AFL.DTA","Sierra Leone",2019
"25-39","Former User",0.0951273590516378,"SLIR7AFL.DTA","Sierra Leone",2019
"40-49","Former User",0.0323256351795012,"SLIR7AFL.DTA","Sierra Leone",2019
"15-24","Never Used",0.246450696028318,"SLIR7AFL.DTA","Sierra Leone",2019
"25-39","Never Used",0.225246134491147,"SLIR7AFL.DTA","Sierra Leone",2019
"40-49","Never Used",0.113854642648495,"SLIR7AFL.DTA","Sierra Leone",2019
"15-24","Current User",0.13211986496208,"ZAIR71FL.DTA","South Africa",2016
"25-39","Current User",0.264056176715671,"ZAIR71FL.DTA","South Africa",2016
"40-49","Current User",0.0853706488066091,"ZAIR71FL.DTA","South Africa",2016
"15-24","Former User",0.0368124434371103,"ZAIR71FL.DTA","South Africa",2016
"25-39","Former User",0.0969333217071645,"ZAIR71FL.DTA","South Africa",2016
"40-49","Former User",0.0526822370095664,"ZAIR71FL.DTA","South Africa",2016
"15-24","Never Used",0.164815429566342,"ZAIR71FL.DTA","South Africa",2016
"25-39","Never Used",0.0911208170629828,"ZAIR71FL.DTA","South Africa",2016
"40-49","Never Used",0.0760890607324739,"ZAIR71FL.DTA","South Africa",2016
"15-24","Current User",0.0143222550928938,"TJIR61FL.DTA","Tajikistan",2012
"25-39","Current User",0.124648999580225,"TJIR61FL.DTA","Tajikistan",2012
"40-49","Current User",0.0503410171553267,"TJIR61FL.DTA","Tajikistan",2012
"15-24","Former User",0.00655759279171024,"TJIR61FL.DTA","Tajikistan",2012
"25-39","Former User",0.0408860643345777,"TJIR61FL.DTA","Tajikistan",2012
"40-49","Former User",0.0291603928575373,"TJIR61FL.DTA","Tajikistan",2012
"15-24","Never Used",0.389576251265078,"TJIR61FL.DTA","Tajikistan",2012
"25-39","Never Used",0.230733196361997,"TJIR61FL.DTA","Tajikistan",2012
"40-49","Never Used",0.113774230560655,"TJIR61FL.DTA","Tajikistan",2012
"15-24","Current User",0.0233780199511433,"TJIR71FL.DTA","Tajikistan",2017
"25-39","Current User",0.137289475185573,"TJIR71FL.DTA","Tajikistan",2017
"40-49","Current User",0.0522644226193459,"TJIR71FL.DTA","Tajikistan",2017
"15-24","Former User",0.0093019569821689,"TJIR71FL.DTA","Tajikistan",2017
"25-39","Former User",0.0596805123700538,"TJIR71FL.DTA","Tajikistan",2017
"40-49","Former User",0.0367583436968363,"TJIR71FL.DTA","Tajikistan",2017
"15-24","Never Used",0.33515771717241,"TJIR71FL.DTA","Tajikistan",2017
"25-39","Never Used",0.242619261084313,"TJIR71FL.DTA","Tajikistan",2017
"40-49","Never Used",0.103550290938155,"TJIR71FL.DTA","Tajikistan",2017
"15-24","Current User",0.0876902307098565,"TZIR7BFL.DTA","Tanzania",2015
"25-39","Current User",0.174703209272181,"TZIR7BFL.DTA","Tanzania",2015
"40-49","Current User",0.0618044017044421,"TZIR7BFL.DTA","Tanzania",2015
"15-24","Former User",0.0427582077729435,"TZIR7BFL.DTA","Tanzania",2015
"25-39","Former User",0.112400579767947,"TZIR7BFL.DTA","Tanzania",2015
"40-49","Former User",0.0482214183045724,"TZIR7BFL.DTA","Tanzania",2015
"15-24","Never Used",0.275619975621143,"TZIR7BFL.DTA","Tanzania",2015
"25-39","Never Used",0.128860753651306,"TZIR7BFL.DTA","Tanzania",2015
"40-49","Never Used",0.0679412231956084,"TZIR7BFL.DTA","Tanzania",2015
"15-24","Current User",0.0731875238241649,"TZIR82FL.DTA","Tanzania",2022
"25-39","Current User",0.173808479840264,"TZIR82FL.DTA","Tanzania",2022
"40-49","Current User",0.0623221973217656,"TZIR82FL.DTA","Tanzania",2022
"15-24","Former User",0.033986875923341,"TZIR82FL.DTA","Tanzania",2022
"25-39","Former User",0.107998193897213,"TZIR82FL.DTA","Tanzania",2022
"40-49","Former User",0.043201799651443,"TZIR82FL.DTA","Tanzania",2022
"15-24","Never Used",0.273708805991102,"TZIR82FL.DTA","Tanzania",2022
"25-39","Never Used",0.143883123308622,"TZIR82FL.DTA","Tanzania",2022
"40-49","Never Used",0.0879030002420842,"TZIR82FL.DTA","Tanzania",2022
"15-24","Current User",0.0192988181841471,"TLIR71FL.DTA","Timor-Leste",2016
"25-39","Current User",0.103196820835142,"TLIR71FL.DTA","Timor-Leste",2016
"40-49","Current User",0.0380597070303872,"TLIR71FL.DTA","Timor-Leste",2016
