Group,Decider,Freq,SurveyName,Country,StartYear
Current User,"Mainly Husband, Partner",0.057671101,PKIR71FL.DTA,Pakistan,2017
Current User,Joint Decision,0.870920861,PKIR71FL.DTA,Pakistan,2017
Current User,Other,0.001111113,PKIR71FL.DTA,Pakistan,2017
Never User,Mainly Respondent,0.080504038,PKIR71FL.DTA,Pakistan,2017
Never User,"Mainly Husband, Partner",0.170486105,PKIR71FL.DTA,Pakistan,2017
Never User,Joint Decision,0.702046485,PKIR71FL.DTA,Pakistan,2017
Never User,Other,0.046963372,PKIR71FL.DTA,Pakistan,2017
Former User,Mainly Respondent,0.14047544,PKIR71FL.DTA,Pakistan,2017
Former User,"Mainly Husband, Partner",0.087957821,PKIR71FL.DTA,Pakistan,2017
Former User,Joint Decision,0.685250561,PKIR71FL.DTA,Pakistan,2017
Former User,Other,0.086316178,PKIR71FL.DTA,Pakistan,2017
Current User,Mainly Respondent,0.104065278,PHIR61FL.DTA,Philippines,2013
Current User,"Mainly Husband, Partner",0.071092241,PHIR61FL.DTA,Philippines,2013
Current User,Joint Decision,0.818431266,PHIR61FL.DTA,Philippines,2013
Current User,Other,0.004027596,PHIR61FL.DTA,Philippines,2013
Current User,Missing,0.002383619,PHIR61FL.DTA,Philippines,2013
Current User,Mainly Respondent,0.096044027,RWIR81FL.DTA,Rwanda,2019
Current User,"Mainly Husband, Partner",0.02622239,RWIR81FL.DTA,Rwanda,2019
Current User,Joint Decision,0.875108728,RWIR81FL.DTA,Rwanda,2019
Current User,Other,0.002624855,RWIR81FL.DTA,Rwanda,2019
Never User,Mainly Respondent,0.271951205,RWIR81FL.DTA,Rwanda,2019
Never User,"Mainly Husband, Partner",0.042209923,RWIR81FL.DTA,Rwanda,2019
Never User,Joint Decision,0.59206445,RWIR81FL.DTA,Rwanda,2019
Never User,Other,0.093774422,RWIR81FL.DTA,Rwanda,2019
Former User,Mainly Respondent,0.330404331,RWIR81FL.DTA,Rwanda,2019
Former User,"Mainly Husband, Partner",0.040858488,RWIR81FL.DTA,Rwanda,2019
Former User,Joint Decision,0.586114511,RWIR81FL.DTA,Rwanda,2019
Former User,Other,0.042622671,RWIR81FL.DTA,Rwanda,2019
Current User,Mainly Respondent,0.087159025,RWIR70FL.DTA,Rwanda,2014
Current User,"Mainly Husband, Partner",0.020359442,RWIR70FL.DTA,Rwanda,2014
Current User,Joint Decision,0.891657115,RWIR70FL.DTA,Rwanda,2014
Current User,Other,0.000824419,RWIR70FL.DTA,Rwanda,2014
Current User,Mainly Respondent,0.080776662,RWIR61FL.DTA,Rwanda,2010
Current User,"Mainly Husband, Partner",0.031970632,RWIR61FL.DTA,Rwanda,2010
Current User,Joint Decision,0.880665817,RWIR61FL.DTA,Rwanda,2010
Current User,Other,0.002459132,RWIR61FL.DTA,Rwanda,2010
Current User,Missing,0.004127756,RWIR61FL.DTA,Rwanda,2010
Current User,Mainly Respondent,0.20812925,SNIR8AFL.DTA,Senegal,2019
Current User,"Mainly Husband, Partner",0.170519804,SNIR8AFL.DTA,Senegal,2019
Current User,Joint Decision,0.610545452,SNIR8AFL.DTA,Senegal,2019
Current User,Other,0.010805494,SNIR8AFL.DTA,Senegal,2019
Never User,Mainly Respondent,0.480008705,SNIR8AFL.DTA,Senegal,2019
Never User,"Mainly Husband, Partner",0.302511611,SNIR8AFL.DTA,Senegal,2019
Never User,Joint Decision,0.185433551,SNIR8AFL.DTA,Senegal,2019
Never User,Other,0.032046133,SNIR8AFL.DTA,Senegal,2019
Former User,Mainly Respondent,0.548921673,SNIR8AFL.DTA,Senegal,2019
Former User,"Mainly Husband, Partner",0.149298487,SNIR8AFL.DTA,Senegal,2019
Former User,Joint Decision,0.283209527,SNIR8AFL.DTA,Senegal,2019
Former User,Other,0.018570312,SNIR8AFL.DTA,Senegal,2019
Current User,Mainly Respondent,0.199467203,SNIR80FL.DTA,Senegal,2018
Current User,"Mainly Husband, Partner",0.103807268,SNIR80FL.DTA,Senegal,2018
Current User,Joint Decision,0.67022274,SNIR80FL.DTA,Senegal,2018
Current User,Other,0.026502789,SNIR80FL.DTA,Senegal,2018
Never User,Mainly Respondent,0.556896289,SNIR80FL.DTA,Senegal,2018
Never User,"Mainly Husband, Partner",0.234741462,SNIR80FL.DTA,Senegal,2018
Never User,Joint Decision,0.186825871,SNIR80FL.DTA,Senegal,2018
Never User,Other,0.021536378,SNIR80FL.DTA,Senegal,2018
Former User,Mainly Respondent,0.569070562,SNIR80FL.DTA,Senegal,2018
Former User,"Mainly Husband, Partner",0.172442879,SNIR80FL.DTA,Senegal,2018
Former User,Joint Decision,0.234418987,SNIR80FL.DTA,Senegal,2018
Former User,Other,0.024067573,SNIR80FL.DTA,Senegal,2018
Current User,Mainly Respondent,0.247925781,SNIR7ZFL.DTA,Senegal,2017
Current User,"Mainly Husband, Partner",0.118768395,SNIR7ZFL.DTA,Senegal,2017
Current User,Joint Decision,0.598302551,SNIR7ZFL.DTA,Senegal,2017
Current User,Other,0.035003273,SNIR7ZFL.DTA,Senegal,2017
Never User,Mainly Respondent,0.579197524,SNIR7ZFL.DTA,Senegal,2017
Never User,"Mainly Husband, Partner",0.169070747,SNIR7ZFL.DTA,Senegal,2017
Never User,Joint Decision,0.197184631,SNIR7ZFL.DTA,Senegal,2017
Never User,Other,0.054547097,SNIR7ZFL.DTA,Senegal,2017
Former User,Mainly Respondent,0.550789649,SNIR7ZFL.DTA,Senegal,2017
Former User,"Mainly Husband, Partner",0.143086256,SNIR7ZFL.DTA,Senegal,2017
Former User,Joint Decision,0.274763579,SNIR7ZFL.DTA,Senegal,2017
Former User,Other,0.031360516,SNIR7ZFL.DTA,Senegal,2017
Current User,Mainly Respondent,0.193466672,SNIR7QFL.DTA,Senegal,2016
Current User,"Mainly Husband, Partner",0.073350568,SNIR7QFL.DTA,Senegal,2016
Current User,Joint Decision,0.695398614,SNIR7QFL.DTA,Senegal,2016
Current User,Other,0.037784146,SNIR7QFL.DTA,Senegal,2016
Current User,Mainly Respondent,0.191098878,SNIR7HFL.DTA,Senegal,2015
Current User,"Mainly Husband, Partner",0.111607424,SNIR7HFL.DTA,Senegal,2015
Current User,Joint Decision,0.684174618,SNIR7HFL.DTA,Senegal,2015
Current User,Other,0.01311908,SNIR7HFL.DTA,Senegal,2015
Current User,Mainly Respondent,0.240714377,SNIR70FL.DTA,Senegal,2014
Current User,"Mainly Husband, Partner",0.073907747,SNIR70FL.DTA,Senegal,2014
Current User,Joint Decision,0.685377876,SNIR70FL.DTA,Senegal,2014
Current User,Mainly Respondent,0.211393935,SNIR6DFL.DTA,Senegal,2012
Current User,"Mainly Husband, Partner",0.110132164,SNIR6DFL.DTA,Senegal,2012
Current User,Joint Decision,0.676911941,SNIR6DFL.DTA,Senegal,2012
Current User,Other,0.001561961,SNIR6DFL.DTA,Senegal,2012
Current User,Mainly Respondent,0.250713525,SNIR61FL.DTA,Senegal,2010
Current User,"Mainly Husband, Partner",0.141828673,SNIR61FL.DTA,Senegal,2010
Current User,Joint Decision,0.581049529,SNIR61FL.DTA,Senegal,2010
Current User,Other,0.026408273,SNIR61FL.DTA,Senegal,2010
Current User,Mainly Respondent,0.496847421,SLIR7AFL.DTA,Sierra Leone,2019
Current User,"Mainly Husband, Partner",0.148394501,SLIR7AFL.DTA,Sierra Leone,2019
Current User,Joint Decision,0.35456291,SLIR7AFL.DTA,Sierra Leone,2019
Current User,Other,0.000195169,SLIR7AFL.DTA,Sierra Leone,2019
Never User,Mainly Respondent,0.513105571,SLIR7AFL.DTA,Sierra Leone,2019
Never User,"Mainly Husband, Partner",0.21969572,SLIR7AFL.DTA,Sierra Leone,2019
Never User,Joint Decision,0.225577056,SLIR7AFL.DTA,Sierra Leone,2019
Never User,Other,0.041621653,SLIR7AFL.DTA,Sierra Leone,2019
Former User,Mainly Respondent,0.552349963,SLIR7AFL.DTA,Sierra Leone,2019
Former User,"Mainly Husband, Partner",0.139593231,SLIR7AFL.DTA,Sierra Leone,2019
Former User,Joint Decision,0.267517623,SLIR7AFL.DTA,Sierra Leone,2019
Former User,Other,0.040539182,SLIR7AFL.DTA,Sierra Leone,2019
Current User,Mainly Respondent,0.445655376,SLIR61FL.DTA,Sierra Leone,2013
Current User,"Mainly Husband, Partner",0.168978475,SLIR61FL.DTA,Sierra Leone,2013
Current User,Joint Decision,0.356520031,SLIR61FL.DTA,Sierra Leone,2013
Current User,Other,0.004669675,SLIR61FL.DTA,Sierra Leone,2013
Current User,Missing,0.024176443,SLIR61FL.DTA,Sierra Leone,2013
Current User,Mainly Respondent,0.414060278,ZAIR71FL.DTA,South Africa,2016
Current User,"Mainly Husband, Partner",0.108212349,ZAIR71FL.DTA,South Africa,2016
Current User,Joint Decision,0.471831713,ZAIR71FL.DTA,South Africa,2016
Current User,Other,0.00589566,ZAIR71FL.DTA,South Africa,2016
Never User,Mainly Respondent,0.337063086,ZAIR71FL.DTA,South Africa,2016
Never User,"Mainly Husband, Partner",0.203341507,ZAIR71FL.DTA,South Africa,2016
